GEOID,hh_income,house_value
36047015300,106750,2000001
36047015400,,
36047015500,190556,1497100
36047015700,166372,1205600
36047015900,187883,1105300
36047016000,84135,
36047016100,156429,1498600
36047016200,87552,833600
36047016300,123819,1174400
36047016400,122625,
36047016500,217438,2000001
36047016600,120938,954700
36047016700,188827,1141500
36047016800,100368,828300
36047016900,112419,1077400
36047017000,84116,1054800
36047017100,142560,1669800
36047017200,116983,1079800
36047017400,105197,858400
36047017500,,
36047017600,86923,761400
36047017700,,
36047017800,77522,894900
36047017900,94241,1512500
36047018000,59033,985000
36047018100,121600,
36047018200,59410,855400
36047018300,158060,2000001
36047018400,67284,927800
36047018501,41571,870200
36047018600,67426,1078200
36047018700,92469,2000001
36047018800,62056,1145200
36047019000,65821,890200
36047019100,134583,1527200
36047019200,52885,885800
36047019300,67000,564000
36047019400,47031,682900
36047019500,96106,672300
36047019600,78629,1105700
36047019700,107149,819000
36047019800,66563,1136600
36047019900,118996,2000001
36047020000,76667,878300
36047020100,129720,1229200
36047020200,71875,962300
36047020300,173125,1062500
36047020400,89474,1036300
36047020500,128281,1077100
36047020600,95114,969600
36047020700,158214,987700
36047020800,48750,1133100
36047021000,58631,1043300
36047021100,72005,721800
36047021200,58385,1024400
36047021300,66683,417900
36047021400,73456,889400
36047021500,104796,1081100
36047021600,34815,1079300
36047021700,70625,1296300
36047021800,60816,1352300
36047021900,104423,1120800
36047022000,39321,861900
36047022100,69213,684500
36047022200,31090,1546100
36047022400,44677,1046100
36047022600,75714,772700
36047022700,108750,1360300
36047022800,48507,732400
36047022900,122989,1196700
36047023000,46691,971500
36047023100,140888,1113900
36047023200,58086,909600
36047023300,61049,1144700
36047023400,26795,878500
36047023500,55682,895100
36047023600,31905,881600
36047023800,39196,1010000
36047024000,42885,888400
36047024100,71000,
36047024200,55069,1178600
36047024300,82524,1573100
36047024400,62885,1011700
36047024500,92932,1610000
36047024600,68224,1125000
36047024700,70408,1255200
36047024800,68063,892600
36047024900,78025,1018400
36047025000,55132,917200
36047025100,46947,1127400
36047025200,49815,908500
36047025300,79583,967500
36047025400,77465,875000
36047025500,23003,
36047025600,52052,865000
36047025700,99821,698300
36047025800,58490,790900
36047025901,62734,859400
36047025902,20045,
36047026000,47948,916900
36047026100,65957,
36047026200,80139,908300
36047026300,67143,933900
36047026400,67524,1157700
36047026500,75612,1544200
36047026600,45893,990700
36047026700,96618,1565700
36047026800,77716,1144800
36047026900,90962,2000001
36047027000,33611,1081500
36047027100,68750,991800
36047027200,71174,1022700
36047027300,78555,1110300
36047027400,52551,1145300
36047027500,89464,1099100
36047027600,56652,1192800
36047027700,62813,1198800
36047027800,61975,910300
36047027900,77220,1040100
36047028000,86509,789600
36047028100,37243,689900
36047028200,55644,835700
36047028300,40559,866500
