,GISJOIN,COUNTY,Population,Population_density,Hispanic,White,Black,Native,Asian,Pacific
10578,G36008100002001,Queens County,1215,0.020994971574709267,704,175,55,2,224,1
10579,G36008100002002,Queens County,1869,0.018931566792269358,1126,192,63,2,383,0
10580,G36008100004001,Queens County,1858,0.020820493282085187,1306,107,71,8,290,4
10581,G36008100004002,Queens County,1756,0.0276274386406545,1186,43,122,12,279,1
10582,G36008100004003,Queens County,1304,0.018091260977538534,809,75,70,15,226,2
10583,G36008100006001,Queens County,1196,0.01815532212034732,707,114,78,4,222,1
10584,G36008100006002,Queens County,1165,0.01886975817554544,777,90,53,9,140,0
10585,G36008100006003,Queens County,1816,0.020952798513920456,1107,98,115,9,309,6
10586,G36008100007011,Queens County,1534,0.019060636182902584,158,839,17,0,421,1
10587,G36008100007012,Queens County,1926,0.012031709739687776,350,900,49,1,475,1
10588,G36008100007021,Queens County,1598,0.017007780154751642,439,626,36,2,421,1
10589,G36008100007022,Queens County,985,0.016260833677259594,171,406,114,1,249,0
10590,G36008100007023,Queens County,1677,0.011183280428925819,206,931,36,4,386,1
10591,G36008100008001,Queens County,1742,0.019545362744878038,985,164,96,3,402,4
10592,G36008100008002,Queens County,1838,0.01825259687382073,1184,172,71,6,268,0
10593,G36008100010001,Queens County,1948,0.026611658310678816,1161,144,47,4,518,3
10594,G36008100010002,Queens County,1841,0.02090738742831185,1221,176,81,1,294,0
10595,G36008100012001,Queens County,1202,0.017340623512269716,604,245,26,3,266,0
10596,G36008100012002,Queens County,1182,0.015782305658664245,618,184,40,6,289,0
10597,G36008100012003,Queens County,1799,0.021688809586960192,1131,245,83,10,294,0
10598,G36008100014001,Queens County,1327,0.018836053938963804,827,236,48,4,162,0
10599,G36008100014002,Queens County,1590,0.02119773890784983,942,244,60,2,294,0
10600,G36008100014003,Queens County,1197,0.01753691983122363,738,131,36,4,258,0
10601,G36008100016001,Queens County,1356,0.02072570537706722,824,179,56,2,250,0
10602,G36008100016002,Queens County,1685,0.019576406073914004,1047,137,38,2,416,0
10603,G36008100018001,Queens County,1628,0.018392362876348642,1027,142,74,0,318,0
10604,G36008100018002,Queens County,1416,0.015914761615752917,765,168,50,6,323,0
10605,G36008100019011,Queens County,1434,0.0062784588441331,163,649,49,1,467,2
10606,G36008100019021,Queens County,8645,0.049676485122912666,792,2716,337,2,4358,2
10607,G36008100019031,Queens County,2214,0.004756114851366041,188,821,52,0,1075,1
10608,G36008100020001,Queens County,1871,0.01278031653654105,1027,196,62,11,468,0
10609,G36008100022001,Queens County,1176,0.015128515192837111,693,186,76,4,162,0
10610,G36008100022002,Queens County,1114,0.01596995240552784,755,136,46,1,153,0
10611,G36008100024001,Queens County,844,0.014811434989382798,502,123,42,0,120,0
10612,G36008100024002,Queens County,1351,0.015909465602110272,840,117,101,5,233,0
10613,G36008100025001,Queens County,1223,0.041356688759637494,512,52,509,0,100,0
10614,G36008100025002,Queens County,1097,0.0388731396172927,457,32,460,2,102,0
10615,G36008100025003,Queens County,1180,0.0427737702541052,488,27,478,1,149,0
10616,G36008100025004,Queens County,1234,0.04360578112300788,516,16,525,7,125,0
10617,G36008100025005,Queens County,1158,0.03682152055709244,454,7,547,11,78,0
10618,G36008100025006,Queens County,1350,0.020673813169984685,518,44,609,2,119,0
10619,G36008100026001,Queens County,995,0.01193503502542942,456,231,82,3,156,0
10620,G36008100026002,Queens County,1155,0.01786211376078686,574,132,126,6,227,4
10621,G36008100028001,Queens County,1737,0.013470546266712163,1025,208,88,13,252,0
10622,G36008100028002,Queens County,1567,0.016306779749206513,881,96,122,30,232,1
10623,G36008100030001,Queens County,1479,0.013112864615657416,778,200,54,15,299,0
10624,G36008100031001,Queens County,810,0.013415482460498857,311,264,21,3,143,1
10625,G36008100031002,Queens County,1347,0.012879599173869808,327,477,153,3,314,3
