School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of,data_year
PRE-K CENTER @ 70-24 47TH AVENUE - QUEENS,Q,24,Lease,2458500,CAP,Q321,70-24 47TH AVENUE,Queens,11377,QUEENS   ,40.739014,-73.893771,2,30,489,4441128,4024450001,Elmhurst-Maspeth                                                           ,"(40.739014, -73.893771)",,1900
P.S. 225 - BROOKLYN,K,21,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,8677000,CIP,K225,1075 OCEAN VIEW AVENUE,Brooklyn,11235,BROOKLYN ,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             ,"(40.579737, -73.956329)",,1900
I.S. 259 - BROOKLYN,K,20,PLANYC BOILER CONVERSION/CLIMATE CTRL,6758000,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228,BROOKLYN ,40.62668,-74.01512,10,43,206,3148031,3059230001,Dyker Heights                                                              ,"(40.62668, -74.01512)",11/13/17,2017
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11436,QUEENS   ,40.678296,-73.79562,12,28,18402,4260828,4120190010,Baisley Park                                                               ,"(40.678296, -73.79562)",,1900
FASHION INDUSTRIES VOC HS - M,M,2,ACCESSIBILITY,3300000,CIP,M600,225 WEST 24 STREET,Manhattan,10011,MANHATTAN,40.745156,-73.996074,4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.745156, -73.996074)",11/13/17,2017
P.S. 345 - BROOKLYN,K,19,PLANYC PLAYGROUND,867000,CIP,K345,111 BERRIMAN STREET,Brooklyn,11208,BROOKLYN ,40.676129,-73.880337,5,37,1192,3088734,3039900001,East New York                                                              ,"(40.676129, -73.880337)",11/13/17,2017
P.S. 333 - QUEENS,Q,27,REINFORCING/HEATING PLT/ELEC/FLOOD ELIM/CLIMATE CO,12990000,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,97204,4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",,1900
I.S. 5 - QUEENS,Q,24,HVAC/PUBLIC ADDRESS SYSTEM,4710000,CIP,Q005,50-40 JACOBUS STREET,Queens,11373,QUEENS   ,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth                                                           ,"(40.737718, -73.887429)",,1900
P.S. @ 4302 4TH AVENUE - BROOKLYN,K,15,New,0,CAP,K557,4302 4TH AVENUE,Brooklyn,11232,BROOKLYN ,40.650305,-74.008602,7,38,82,3337162,3007280036,Sunset Park West                                                           ,"(40.650305, -74.008602)",11/13/17,2017
P.S. 73 - BROOKLYN,K,23,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,10789000,CIP,K073,251 MACDOUGAL STREET,Brooklyn,11233,BROOKLYN ,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill                                                                 ,"(40.680318, -73.910644)",,1900
P.S. 181 - QUEENS,Q,29,FLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD,4848000,CIP,Q181,148-15 230 STREET,Queens,11413,QUEENS   ,40.656126,-73.753207,13,31,694,4291453,4137180001,Springfield Gardens South-Brookville                                       ,"(40.656126, -73.753207)",11/13/17,2017
P.S. 155 - BROOKLYN,K,23,ENY LIBRARY UPGRADE,198000,CIP,K155,1355 HERKIMER STREET,Brooklyn,11233,BROOKLYN ,40.677415,-73.908734,16,37,369,3042263,3015520043,Ocean Hill                                                                 ,"(40.677415, -73.908734)",11/13/17,2017
P.S. 251 - BROOKLYN,K,22,FY16 RESO A AUDITORIUM UPGRAD,184300,CIP,K251,1037 EAST 54 STREET,Brooklyn,11234,BROOKLYN ,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  ,"(40.632524, -73.924417)",,1900
X186 SPED - BRONX,X,12,PARAPET/FLOOD ELIM/EXT MASONRY/ROOFS,11642000,CIP,X136,750 JENNINGS STREET,Bronx,10459,BRONX    ,40.83182,-73.898075,3,16,151,2010344,2029690001,Morrisania-Melrose                                                         ,"(40.83182, -73.898075)",,1900
P.S. 16 - QUEENS,Q,24,EXTERIOR MASONRY,1855000,CIP,Q721,41-15 104 STREET,Queens,11368,QUEENS   ,40.748987,-73.86123,4,21,403,4048820,4019850001,North Corona                                                               ,"(40.748987, -73.86123)",11/13/17,2017
P.S. 33 - QUEENS,Q,29,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,8860557,CIP,Q033,91-37 222 STREET,Queens,11428,QUEENS   ,40.727134,-73.735077,13,23,560,4230589,4107560001,Queens Village                                                             ,"(40.727134, -73.735077)",11/13/17,2017
